address,postcode,source,price_pcm,size_sqft,bedrooms,bathrooms,url,ppsf,district,tier_num,tier,location_score,size_score,ppsf_score,comp_score
"New Cavendish Street, W1G 9UG",W1G 9UG,savills,5958,1066,2,2.0,https://search.savills.com/property-detail/gbmorembl250123l,5.589118198874297,W1G,3,Tier 3: Prime Central,50,3.125,32.16160310277957,42.64330155138978
"New Cavendish Street, Marylebone, London, W1G",W1G,knightfrank,5958,1066,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/new-cavendish-street-marylebone-london-w1g/mrq012515224,5.589118198874297,W1G,3,Tier 3: Prime Central,50,3.125,32.16160310277957,42.64330155138978
"Cadogan Gardens, Chelsea, London, SW3",SW3,rightmove,5416,1425,2,2.0,https://www.rightmove.co.uk/properties/169213154#/?channel=RES_LET,3.800701754385965,SW3,3,Tier 3: Prime Central,50,28.46798780487805,5.871380411813848,42.16968410834595
NW1 8YG,NW1 8YG,savills,5499,1103,2,2.0,https://search.savills.com/property-detail/gbpirephl250027l,4.985494106980961,NW1,3,Tier 3: Prime Central,50,10.17530487804878,23.288159869568858,41.73173237380882
"Radnor Terrace, Kensington",,rightmove,5997,1333,2,2.0,https://www.rightmove.co.uk/properties/169417826#/?channel=RES_LET,4.49887471867967,,4,Tier 4: Broader Market,20,45.9984756097561,16.13471855358798,41.06659708167204
"Hester Road, SW11 4AP",SW11 4AP,savills,5525,1310,2,2.0,https://search.savills.com/property-detail/gbnbmywts230115l,4.217557251908397,SW11,4,Tier 4: Broader Market,20,49.618902439024396,11.999272991639398,40.8090877153319
"Holland Park Road, London, W14",W14,knightfrank,6500,1220,2,2.0,https://www.knightfrank.co.uk/properties/residential/to-let/holland-park-road-london-w14/pod012507757,5.327868852459017,W14,4,Tier 4: Broader Market,20,32.46951219512195,28.321164531386327,40.39533836325414
"Culford Mansions, Culford Gardens, London, SW3",SW3,rightmove,15166,1211,2,2.0,https://www.rightmove.co.uk/properties/168962651#/?channel=RES_LET,12.52353426919901,SW3,3,Tier 3: Prime Central,50,30.754573170731707,0.0,40.37728658536585
"Young Street, Kensington",,rightmove,7150,1151,2,2.0,https://www.rightmove.co.uk/properties/169135463#/?channel=RES_LET,6.211989574283232,,4,Tier 4: Broader Market,20,19.321646341463417,41.31798679506554,40.319816568264486
"Onslow Gardens, Kensington and Chelsea",,rightmove,5499,1304,2,2.0,https://www.rightmove.co.uk/properties/162122474#/?channel=RES_LET,4.2170245398773005,,4,Tier 4: Broader Market,20,48.47560975609756,11.991441975563227,40.23352586583039
"Stratford Road, South Kensington, W8",W8,rightmove,7800,1543,2,1.0,https://www.rightmove.co.uk/properties/169392944#/?channel=RES_LET,5.055087491898898,W8,3,Tier 3: Prime Central,50,5.983231707317077,24.31120212180789,40.147216914562485
"Queen's Gate Place Mews, London",,rightmove,5416,1308,2,2.0,https://www.rightmove.co.uk/properties/169955699#/?channel=RES_LET,4.140672782874618,,4,Tier 4: Broader Market,20,49.23780487804878,10.869049760577015,40.053427319312895
"Onslow Square, London, SW7",SW7,knightfrank,4875,1140,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/onslow-square-london-sw7/knq012564595,4.276315789473684,SW7,3,Tier 3: Prime Central,50,17.22560975609756,12.863039952823229,40.04432485446039
"Cavendish House, Wellington Road, St John's Wood, London, NW8",NW8,knightfrank,4948,1126,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/cavendish-house-wellington-road-st-john-s-wood-london-nw8/sjq012557123,4.394316163410302,NW8,3,Tier 3: Prime Central,50,14.557926829268297,14.597678503017548,39.57780266614292
"Albion Riverside, Battersea, SW11",SW11,knightfrank,5525,1325,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/albion-riverside-battersea-sw11/baq012519628,4.169811320754717,SW11,4,Tier 4: Broader Market,20,47.52286585365854,11.297394429469904,39.410130141564224
"Ormonde Court, 10-14 Belsize Grove, London, NW3",NW3,knightfrank,4498,1164,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/ormonde-court-10-14-belsize-grove-london-nw3/bpq012548600,3.8642611683848798,NW3,3,Tier 3: Prime Central,50,21.79878048780488,6.8057216013553195,39.302251044580096
"Weymouth Mews, London, W1G",W1G,knightfrank,5416,1071,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/weymouth-mews-london-w1g/mrq012584054,5.056956115779645,W1G,3,Tier 3: Prime Central,50,4.077743902439029,24.338671416278924,39.208207659358976
